"x"	"y"	"resp"
"P0774_PR_130706"	2577174.9	1138100	1
"P0775_PR_130706"	2577076.1	1137874.7	1
"P0782_PR_130722"	2578224.5	1126575.1	1
"P0784_PR_130711"	2567397	1135231	1
"P0794_PR_130707"	2573339	1121070	1
"P0820_PR_130722"	2578399.3	1126000.6	1
"P0821_PR_130722"	2578550.1	1125700.3	1
"P0822_PR_130829"	2566724.3	1135125.3	0
"P0823_PR_130706"	2577150	1137549	1
"P0825_PR_130715"	2581176	1136034	1
"P0827_PR_130707"	2580999.9	1126550.1	0
"P0829_PR_130711"	2567825.3	1136499.5	0
"P0837_PR_130706"	2576800	1137648	1
"P0842_PR_130726"	2575564.1	1136336.5	1
"P0858_PR_130728"	2582709	1132001	1
"P0878_PR_130818"	2582384.9	1130722.1	0
"P0880_PR_130811"	2582883.1	1131371.4	0
"P0881_PR_130821"	2574168.1	1117742.9	1
"P0882_PR_130821"	2574133	1117732	0
"P0883_PR_130821"	2574094.1	1117695	0
"P0891_PR_130711"	2581351	1151024.7	1
"P0894_PR_130721"	2575825	1137074.4	1
"P0896_PR_130731"	2579224.9	1126601.5	1
"P0904_PR_130714"	2580400	1136150	1
"P0909_PR_130805"	2571583.1	1117803.5	0
"P0912_PR_130811"	2582277.9	1130114.1	0
"P0914_PR_130814"	2575890.8	1120674.3	0
"P1005_PR_130821"	2574116.3	1117679.4	0
