"x"	"y"	"resp"
"P0717_FU_120716"	2563216	1146338	0
"P0722_FU_120725"	2565190	1134911	0
"P0724_FU_130820"	2579785.7	1145240.6	0
"P0725_FU_130901"	2576027.9	1148852.9	0
"P0726_FU_120718"	2570176	1140243	0
"P0735_FU_130711"	2584276	1152723	0
"P0737_FU_130711"	2583994	1152783	0
"P0738_FU_120724"	2573600	1124273	0
"P0740_FU_130706"	2566926.9	1138078.1	0
"P0742_FU_130723"	2570972	1121569	0
"P0743_FU_130728"	2572492.6	1137664	0
"P0744_FU_120803"	2576317	1139872.7	0
"P0745_FU_130714"	2581297	1134228	0
"P0746_FU_120727"	2571125	1136374.6	0
"P0747_FU_130711"	2583649.2	1151723.5	0
"P0748_FU_130728"	2575697	1135312	0
"P0750_FU_130707"	2575927.9	1128449.8	0
"P0753_FU_130711"	2583550	1151349	0
"P0754_FU_120801"	2564950	1143883	0
"P0757_FU_120725"	2563677	1134678	0
"P0763_FU_120723"	2571150	1129625	0
"P0765_FU_120724"	2571275	1120623	0
"P0769_FU_120808"	2581379	1137549	0
"P0770_FU_130722"	2578753.8	1125899.1	0
"P0774_FU_130706"	2577174.9	1138100	0
"P0775_FU_130706"	2577076.1	1137874.7	0
"P0779_FU_120807"	2574207.2	1130257.2	0
"P0780_FU_120808"	2579550	1152800	0
"P0782_FU_130722"	2578224.5	1126575.1	0
"P0784_FU_130711"	2567397	1135231	0
"P0791_FU_120807"	2573268.3	1130105.2	0
"P0794_FU_130707"	2573339	1121070	0
"P0800_FU_120808"	2580000	1153749	0
"P0803_FU_120809"	2581550	1141975	0
"P0805_FU_120809"	2580599	1142450	0
"P0806_FU_120808"	2580949	1137675	0
"P0814_FU_120726"	2582112	1145111	0
"P0818_FU_120910"	2573152.8	1117996.8	0
"P0820_FU_130722"	2578399.3	1126000.6	0
"P0821_FU_130722"	2578550.1	1125700.3	0
"P0822_FU_130829"	2566724.3	1135125.3	0
"P0823_FU_130706"	2577150	1137549	0
"P0825_FU_130715"	2581176	1136034	0
"P0827_FU_130707"	2580999.9	1126550.1	0
"P0829_FU_130711"	2567825.3	1136499.5	0
"P0831_FU_120810"	2565875	1135599.2	0
"P0833_FU_120801"	2570652.4	1118626.4	0
"P0835_FU_120829"	2581200.1	1130125.2	0
"P0837_FU_130706"	2576800	1137648	0
"P0841_FU_120810"	2567025	1136049	0
"P0843_FU_120801"	2564479	1142332	0
"P0847_FU_120910"	2572221	1117491	1
"P0849_FU_120908"	2577209	1121725	0
"P0850_FU_120829"	2581101	1129848	1
"P0854_FU_120908"	2576994	1121800.4	0
"P0855_FU_120909"	2577400	1122951	0
"P0858_FU_130728"	2582709	1132001	1
"P0859_FU_120829"	2581610.1	1130059.4	1
"P0860_FU_120910"	2571002.1	1117025.8	0
"P0864_FU_120829"	2581359	1130491	0
"P0866_FU_120909"	2578042	1122655	0
"P0870_FU_120910"	2571651.4	1117998.6	1
"P0871_FU_120909"	2578135	1123340	1
"P0872_FU_120909"	2577713	1122942.5	1
"P0878_FU_130818"	2582384.9	1130722.1	0
"P0882_FU_130821"	2574133	1117732	1
"P0883_FU_130821"	2574094.1	1117695	1
"P0884_FU_120907"	2575200.1	1119102	1
"P0885_FU_120907"	2575300	1119037	0
"P0890_FU_120724"	2572944	1123051	0
"P0891_FU_130711"	2581351	1151024.7	1
"P0894_FU_130721"	2575825	1137074.4	0
"P0896_FU_130731"	2579224.9	1126601.5	1
"P0899_FU_120812"	2577523	1152782	0
"P0900_FU_130714"	2579985	1136034.5	0
"P0904_FU_130714"	2580400	1136150	0
"P0906_FU_130727"	2578850.8	1136647.6	0
"P0909_FU_130805"	2571583.1	1117803.5	1
"P0912_FU_130811"	2582277.9	1130114.1	1
"P0914_FU_130814"	2575890.8	1120674.3	1
"P1005_FU_130821"	2574116.3	1117679.4	1
