MumId Percentage
862783 99.3239481428458
871649 94.0074906367041
877475 94.6431480231773
889183 96.9418877336623
892465 96.966743817761
895274 96.4379455421063
895818 99.8447377176444
898350 96.2824428935219
898630 96.4546469678749
M001167 81.0622866658184
M001631 99.3185502100586
M001649 76.3779408427264
M004207 82.9919800057495
M004500 99.8891475446181
M005170 93.0850270834369
M005238 97.0429027551646
M005415 82.4625133551929
M005469 82.9238024323654
M006491 97.4007082017418
M008108 99.2473162505655
M011679 59.3966344939108
M011803 74.8415234566102
M012772 81.4834681975371
M014581 83.4587236834013
M014906 82.8717142627672
M014948 99.2952420069825
M017312 97.5925523293736
M020581 99.1337599500546
M020881 82.3360658098634
M020884 98.8724450372325
M021087 71.1978564932032
M021116 99.9001885327714
M022140 98.9551507801385
M022152 98.681807539218
M022153 98.8329131820789
M022154 78.4816593440278
M022156 76.8156010861516
M022166 100
M022193 98.5799906301998
M022389 99.5604373189736
M022647 67.6730017277439
M022674 83.4325282619207
M022680 99.0672419209047
M022700 99.9667479494569
M022756 99.8226557304367
M022858 99.9334811529934
M022861 97.1641171398461
M022866 99.9778344231409
M022904 100
M022941 85.3612721904016
M022958 99.7385967192139
M022971 85.275563898206
M022998 77.648379498905
M026016 99.0181650780713
M026073 98.7872097391198
M026077 94.7328244274809
M026079 81.7464594920016
M026080 85.894267883554
M026158 83.2750388141899
M026163 80.8055900583114
M026166 60.6130227256536
M026255 83.6766381766382
M026257 81.1224952946943
M026260 99.8891598315229
M026394 98.5104711147552
M026459 97.8695746736332
M026575 94.7067961165048
M026800 98.7343773248029
M026901 82.4933807570368
M026980 84.5526348097726
M026985 100
M026986 89.3546368528639
M027838 87.3423712769194
M027866 82.9435846810487
M027889 98.8001054852321
M027970 95.6455142231948
M028783 82.780967139788
M028817 79.3346153636626
M028824 81.2468290208016
M028838 100
M028841 99.6205896078073
M028884 99.3572776914629
M028938 99.1177689919816
M028977 97.9612864659939
M031150 96.4783688281921
M031528 98.9064344307012
M031529 82.7650839491492
M031538 98.404930399732
M031540 99.3651214218019
M031552 96.995736451145
M031554 99.0159630484084
M031555 82.5507176700552
M031556 98.7935739982632
M031557 77.8637145537948
M031564 77.7966680581382
M031565 82.8228387870288
M031571 71.173904009973
M031580 98.9904030969065
M031582 83.0663970527132
M031584 98.4406604947876
M031590 82.7225072183444
M031596 99.1915614898457
M031617 82.1008549599466
M031618 99.6765225112847
M031664 80.8901762448612
M031710 96.9315115068319
M031711 99.9889073765946
M031746 78.9312940671192
M031760 99.9224376731302
M031780 88.826395656411
M031797 99.250344290761
M031798 81.0325219129456
M031803 82.7707773796721
M031841 93.272054129963
M031848 82.6348168520344
M031861 82.3808657486895
M031916 98.3498216228525
M032006 99.9795584627964
M032008 97.2961032075638
M032015 96.0317105601305
M032026 99.5180663823111
M032041 83.2780567023868
M032090 81.9755631147199
M032124 99.2404470922803
M032131 95.430087563546
M032154 86.7895159670617
M032226 99.9778270509978
M032230 85.2089488215854
M032231 99.1187501280886
M032247 98.6916642309352
M032248 99.9335106382979
M032314 98.6221403377406
M032347 83.2090540063537
M032352 97.7662664458326
M032371 97.7951823731998
M032393 84.0779479069322
M032401 99.4269854060346
M032448 98.2196317920052
M032478 97.9778572611027
M032499 94.3652036269163
M033604 99.0126294006624
M033660 97.143790942549
M033836 81.007039028971
M033862 98.7093107013529
M033872 99.5280545359203
M033889 99.3725648194097
