"x"	"y"	"resp"
"P0680_BA_130715"	2561475.5	1144725.5	0
"P0685_BA_130806"	2573300	1134528	0
"P0689_BA_120730"	2570876	1147214	0
"P0690_BA_130706"	2567446	1138626.5	0
"P0691_BA_130720"	2573769.5	1138667.8	0
"P0692_BA_130706"	2566360.4	1138988.8	0
"P0696_BA_130705"	2562151.1	1148075.6	0
"P0697_BA_130715"	2570469.3	1140698.1	0
"P0698_BA_120828"	2581123.8	1146675.1	0
"P0699_BA_130715"	2572858.6	1140980	0
"P0700_BA_130721"	2566924.1	1139722.5	0
"P0703_BA_130721"	2564749.3	1136624.1	0
"P0704_BA_130728"	2573001.4	1137035	0
"P0705_BA_120723"	2572297	1126446	0
"P0706_BA_130803"	2572950	1134925	0
"P0707_BA_130720"	2570286.3	1136049.6	0
"P0709_BA_120718"	2570069	1142061	0
"P0710_BA_130720"	2573572.4	1136995.4	0
"P0712_BA_130706"	2566303.8	1138452.4	0
"P0714_BA_130723"	2570875	1121803	0
"P0715_BA_120720"	2572541	1144906	0
"P0717_BA_120716"	2563216	1146338	0
"P0722_BA_120725"	2565190	1134911	0
"P0724_BA_130820"	2579785.7	1145240.6	0
"P0725_BA_130901"	2576027.9	1148852.9	0
"P0726_BA_120718"	2570176	1140243	0
"P0735_BA_130711"	2584276	1152723	0
"P0737_BA_130711"	2583994	1152783	0
"P0738_BA_120724"	2573600	1124273	0
"P0740_BA_130706"	2566926.9	1138078.1	0
"P0742_BA_130723"	2570972	1121569	0
"P0743_BA_130728"	2572492.6	1137664	0
"P0744_BA_120803"	2576317	1139872.7	0
"P0745_BA_130714"	2581297	1134228	0
"P0746_BA_120727"	2571125	1136374.6	0
"P0747_BA_130711"	2583649.2	1151723.5	0
"P0748_BA_130728"	2575697	1135312	0
"P0750_BA_130707"	2575927.9	1128449.8	0
"P0753_BA_130711"	2583550	1151349	0
"P0754_BA_120801"	2564950	1143883	0
"P0757_BA_120725"	2563677	1134678	0
"P0763_BA_120723"	2571150	1129625	0
"P0765_BA_120724"	2571275	1120623	0
"P0769_BA_120808"	2581379	1137549	1
"P0770_BA_130722"	2578753.8	1125899.1	0
"P0774_BA_130706"	2577174.9	1138100	0
"P0775_BA_130706"	2577076.1	1137874.7	0
"P0779_BA_120807"	2574207.2	1130257.2	0
"P0780_BA_120808"	2579550	1152800	1
"P0782_BA_130722"	2578224.5	1126575.1	0
"P0784_BA_130711"	2567397	1135231	0
"P0791_BA_120807"	2573268.3	1130105.2	0
"P0794_BA_130707"	2573339	1121070	1
"P0800_BA_120808"	2580000	1153749	1
"P0803_BA_120809"	2581550	1141975	0
"P0805_BA_120809"	2580599	1142450	0
"P0806_BA_120808"	2580949	1137675	0
"P0814_BA_120726"	2582112	1145111	0
"P0818_BA_120910"	2573152.8	1117996.8	1
"P0820_BA_130722"	2578399.3	1126000.6	0
"P0821_BA_130722"	2578550.1	1125700.3	0
"P0822_BA_130829"	2566724.3	1135125.3	0
"P0823_BA_130706"	2577150	1137549	0
"P0825_BA_130715"	2581176	1136034	0
"P0827_BA_130707"	2580999.9	1126550.1	0
"P0829_BA_130711"	2567825.3	1136499.5	0
"P0831_BA_120810"	2565875	1135599.2	0
"P0833_BA_120801"	2570652.4	1118626.4	0
"P0835_BA_120829"	2581200.1	1130125.2	1
"P0837_BA_130706"	2576800	1137648	0
"P0841_BA_120810"	2567025	1136049	1
"P0842_BA_130726"	2575564.1	1136336.5	0
"P0843_BA_120801"	2564479	1142332	0
"P0844_BA_130726"	2576053.4	1136301.8	0
"P0847_BA_120910"	2572221	1117491	1
"P0849_BA_120908"	2577209	1121725	1
"P0850_BA_120829"	2581101	1129848	1
"P0854_BA_120908"	2576994	1121800.4	1
"P0855_BA_120909"	2577400	1122951	0
"P0858_BA_130728"	2582709	1132001	0
"P0859_BA_120829"	2581610.1	1130059.4	0
"P0860_BA_120910"	2571002.1	1117025.8	1
"P0862_BA_120812"	2577175	1152225	1
"P0864_BA_120829"	2581359	1130491	1
"P0866_BA_120909"	2578042	1122655	1
"P0870_BA_120910"	2571651.4	1117998.6	0
"P0871_BA_120909"	2578135	1123340	0
"P0872_BA_120909"	2577713	1122942.5	1
"P0878_BA_130818"	2582384.9	1130722.1	1
"P0880_BA_130811"	2582883.1	1131371.4	0
"P0881_BA_130821"	2574168.1	1117742.9	1
"P0882_BA_130821"	2574133	1117732	0
"P0883_BA_130821"	2574094.1	1117695	0
"P0884_BA_120907"	2575200.1	1119102	0
"P0885_BA_120907"	2575300	1119037	1
"P0887_BA_120810"	2571817	1118218	1
"P0890_BA_120724"	2572944	1123051	0
"P0891_BA_130711"	2581351	1151024.7	0
"P0894_BA_130721"	2575825	1137074.4	0
"P0896_BA_130731"	2579224.9	1126601.5	0
"P0899_BA_120812"	2577523	1152782	0
"P0900_BA_130714"	2579985	1136034.5	0
"P0904_BA_130714"	2580400	1136150	0
"P0906_BA_130727"	2578850.8	1136647.6	0
"P0909_BA_130805"	2571583.1	1117803.5	1
"P0912_BA_130811"	2582277.9	1130114.1	0
"P0914_BA_130814"	2575890.8	1120674.3	0
"P1005_BA_130821"	2574116.3	1117679.4	1
