"x"	"y"	"pres"
"217"	2578685.1	1124961.7	0
"218"	2578624	1124900.8	0
"219"	2578000.8	1124697.2	0
"220"	2579934.6	1124834.3	0
"221"	2578429.1	1126929.7	0
"222"	2575911	1120586	0
"223"	2568699.4	1126299.1	0
"224"	2578499.4	1146998.9	0
"225"	2577097.3	1132101.7	0
"226"	2570501	1134777.5	0
"227"	2575424.2	1148146.1	0
"228"	2564902.3	1135892.4	0
"229"	2561077.2	1142223.1	0
"230"	2568199.1	1126923.2	0
"231"	2575305	1138001.9	0
"232"	2578097.3	1126797.3	0
"233"	2567494	1129402.2	0
"234"	2568400	1141500	0
"235"	2572202.6	1124701.8	0
"236"	2571511.9	1138702	0
"237"	2568325.9	1130398.8	0
"238"	2577187.2	1123302.2	0
"239"	2558229.8	1148297.1	0
"240"	2569189.5	1133409.8	0
"241"	2572299.3	1120103	0
"242"	2579502.3	1146799.2	0
"243"	2571000	1122800	0
"244"	2567495.4	1138403.1	0
"245"	2575000.6	1145775	0
"246"	2571100.3	1118396.6	0
"247"	2558928	1150370.2	0
"248"	2580001.8	1147096.6	0
"249"	2577503.1	1127204.79999999	0
"250"	2576600	1121200	0
"251"	2572201.4	1133801.8	0
"252"	2573001	1147000.2	0
"253"	2581497.5	1131291.2	0
"254"	2559275.4	1151124	0
"255"	2571098.2	1146497.4	0
"256"	2577501.2	1145595	0
"257"	2571898.9	1133906.8	0
"258"	2575796	1129984.7	0
"259"	2561026.6	1143900.2	0
"260"	2580201.8	1150796.7	0
"261"	2573105.7	1118601.30000001	0
"262"	2573099.5	1119599.49999999	0
"263"	2571051.1	1146399.7	0
"264"	2573103.4	1118598.5	0
"265"	2580700	1126300	0
"266"	2582198.2	1152691.8	0
"267"	2569921	1133567.9	0
"268"	2573199.9	1119600.8	0
"269"	2566766.3	1121184	0
"270"	2576399.9	1128498.4	0
"271"	2567007.6	1119415.6	0
"272"	2575600.6	1138700.5	0
"273"	2580477.5	1143595.9	0
