"x"	"y"	"pres"
"1"	2571116	1129030	1
"2"	2570918	1127666	1
"3"	2568375	1124350	1
"4"	2561950	1132750.00000001	0
"5"	2561525	1133100	0
"6"	2563475	1131750	0
"7"	2563300	1132325	0
"8"	2563875	1133925	1
"9"	2565050	1134550	0
"10"	2579634	1133245	1
"11"	2579480	1133078	1
"12"	2576375	1134725	0
"13"	2577450	1134425	0
"14"	2576675	1134225	0
"15"	2567350	1132000	1
"16"	2570000	1146700	0
"17"	2572490	1145843	1
"18"	2573050	1146000	1
"19"	2575325	1145450	0
"20"	2575575	1145225	0
"21"	2576700	1147900	0
"22"	2577425	1147325	0
"23"	2579400	1147200	0
"24"	2579475	1147225	0
"25"	2579350	1147350	0
"26"	2580700	1148325	0
"27"	2581325	1148750	0
"28"	2581225	1150025	0
"29"	2581250	1150950	0
"30"	2582236	1148468	0
"31"	2578025	1146975	0
"32"	2575025	1139075	1
"33"	2575425	1138875	0
"34"	2575150	1138350	0
"35"	2572600	1139525	0
"36"	2572550	1138970	0
"37"	2573775	1139400	0
"38"	2573550	1137225	1
"39"	2571300	1141325	1
"40"	2573875	1141650	0
"41"	2571900	1136775	1
"42"	2570775	1135675	0
"43"	2572050	1132475	0
"44"	2569500	1132000	1
"45"	2561725	1139350	0
"46"	2561650	1138550	0
"47"	2583625	1147150	0
"48"	2582025	1146150	0
"49"	2585050	1154200	0
"50"	2575025	1147800	0
"51"	2571475	1145475	0
"52"	2575350	1143300	0
"53"	2575925	1143000	0
"54"	2580850	1139600	1
"55"	2581150	1140100	1
"56"	2575125	1149274.99999999	0
"57"	2580075	1152675	0
"58"	2578750	1152600	0
"59"	2582050	1140775	0
"60"	2576750	1137475	0
"61"	2583375	1145675	0
"62"	2569850	1143625	0
"63"	2569600	1124250	0
"64"	2571975	1127550	1
"65"	2580500	1128000	0
"66"	2575250	1127600	0
"67"	2578250	1129500	0
"68"	2577500	1128575	0
"69"	2576850	1127200	0
"70"	2580950	1130175	0
"71"	2567950	1135950	0
"72"	2581600	1135150	0
"73"	2577675	1121550	0
"74"	2571975	1118825	0
"75"	2562450	1144025	1
"76"	2565925	1140800	1
"77"	2579650	1135225	0
"78"	2566825	1137075	0
"79"	2565675	1135900	0
"80"	2557747.6	1149726.8	0
"81"	2572499.4	1145503.5	0
"82"	2579100.4	1151800.4	0
"83"	2581301.7	1150300.1	0
"84"	2579838.7	1124770.9	0
"85"	2577011.1	1121328.6	0
"86"	2579304.5	1153215.5	0
"87"	2581699.8	1150900.1	0
"88"	2571298.5	1137897.7	0
"89"	2583602.3	1147106	0
"90"	2564607.9	1133295.2	0
"91"	2580497.4	1127198.7	0
"92"	2580303.3	1151997.1	0
"93"	2580706.3	1127198.4	0
"94"	2570801.2	1135749.7	0
"95"	2566900.2	1135795.4	0
"96"	2578000.1	1127403.4	0
"97"	2573301.2	1143804.4	0
"98"	2567801.5	1142493.6	0
"99"	2578799.6	1123597.1	0
"100"	2557469.5	1147202.4	0
"101"	2568600.9	1124901.6	0
"102"	2568803.1	1140694.6	0
"103"	2577051.3	1151421.4	0
"104"	2571096.7	1120205	0
"105"	2571496.8	1135100.8	0
"106"	2565500	1137700	0
"107"	2572202.5	1141592.7	0
"108"	2581099.6	1141795.4	0
"109"	2569599.4	1122000	0
"110"	2567200.1	1136397.2	0
"111"	2572198.7	1124600.1	0
"112"	2576198.7	1143105.2	0
"113"	2579004.1	1125798.8	0
"114"	2564800.2	1137699.9	0
"115"	2577204.5	1128294.6	0
"116"	2570009.3	1147199	0
"117"	2557146.5	1150027.3	0
"118"	2576503.9	1143002.1	0
"119"	2580719.3	1131179.59999999	0
"120"	2579901.4	1150996.20000001	0
"121"	2578997.8	1124101.3	0
"122"	2577499	1121999.6	0
"123"	2578598.3	1126794.5	0
"124"	2568100.1	1142094.9	0
"125"	2578502.8	1140998.5	0
"126"	2577901.1	1139199.6	0
"127"	2571898.6	1118200.1	0
"128"	2575000.2	1119897.89999999	0
"129"	2578598.4	1151003	0
"130"	2576109.9	1148415	0
"131"	2571572.9	1123826	0
"132"	2577512.9	1143798.5	0
"133"	2569697.1	1121794.8	0
"134"	2580306	1152595.3	0
"135"	2574300	1119800	0
"136"	2574603.9	1122198.4	0
"137"	2580100	1130200	0
"138"	2577997.3	1140799.1	0
"139"	2578500.3	1124402.2	0
"140"	2574582.1	1121850	0
"141"	2569301.9	1141800.9	0
"142"	2578101.7	1140694.5	0
"143"	2578403.1	1139196.5	0
"144"	2568801.8	1142299.3	0
"145"	2568127.4	1129100.4	0
"146"	2571400	1117200	0
"147"	2576598.5	1141304.5	0
"148"	2577902.6	1122902.8	0
"149"	2557682.6	1150423.3	0
"150"	2577593.8	1129095.2	0
"151"	2580499	1124512.5	0
"152"	2577300.1	1140801.2	0
"153"	2575139.3	1121032.1	0
"154"	2576098.9	1148048.6	0
"155"	2574897.8	1143394.6	0
"156"	2564295.7	1144405.6	0
"157"	2572092.5	1148403.3	0
"158"	2573900.5	1119998.2	0
"159"	2578400.7	1150498.4	0
"160"	2566805.8	1138599.4	0
"161"	2572898.6	1141798.5	0
"162"	2575297.8	1130796	0
"163"	2572999.6	1147227.6	0
"164"	2577703.7	1128994.6	0
"165"	2571122.5	1124203	0
"166"	2572600	1130000	0
"167"	2576200	1143697.9	0
"168"	2575502.4	1131701.7	0
"169"	2575400.1	1131097.7	0
"170"	2570604.5	1132301.6	0
"171"	2568399.6	1144601.2	0
"172"	2580097.2	1136400.3	0
"173"	2575300	1124700	0
"174"	2580498.5	1137599.3	0
"175"	2557726.2	1147276.1	0
"176"	2569700.8	1124099.4	0
"177"	2562699.6	1134995.7	0
"178"	2576304.5	1132905.7	0
"179"	2579494	1137398.3	0
"180"	2579398.4	1124795.8	0
"181"	2577795.7	1137395.5	0
"182"	2577390.6	1137392.6	0
"183"	2575297.1	1136296.7	0
"184"	2557846.9	1147527.3	0
"185"	2580903.4	1141096.7	0
"186"	2579797.7	1123900.1	0
"187"	2575005.8	1122110.3	0
"188"	2578892.5	1140400.4	0
"189"	2576598	1138495.7	0
"190"	2577800	1125300	0
"191"	2579651.4	1136898	0
"192"	2576899.1	1140897	0
"193"	2572597.3	1133004.7	0
"194"	2560221	1142970.2	0
"195"	2577504	1125410.4	0
"196"	2581406	1131494.1	0
"197"	2581499.8	1131399	0
"198"	2569696.8	1138099.7	0
"199"	2571897.7	1120196.7	0
"200"	2573798.4	1144701.7	0
"201"	2584593.8	1151895.1	0
"202"	2569100	1136100	0
"203"	2579197.2	1135997	0
"204"	2578594	1125100.5	0
"205"	2579101.1	1136303.5	0
"206"	2578699.1	1136499.2	0
"207"	2578076	1136824.3	0
"208"	2568503.8	1137897.2	0
"209"	2556973.9	1147973.5	0
"210"	2571325.6	1123371.5	0
"211"	2581500.1	1146293.7	0
"212"	2578405.1	1136698.7	0
"213"	2574599.1	1147402.6	0
"214"	2582698.6	1152999.7	0
"215"	2572791.1	1130000.99999999	0
"216"	2561243	1143270.6	0
"217"	2576799	1137001.5	0
